Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
R.gandhi    ,DMK, 1 ,10th Pass,70," 36,34,95,287 "," 17,33,04,650 "
Elumalai.c,AIADMK,0,10th Pass,48," 68,87,000 "," 9,17,000 "
Gandhi. R,IND,0,5th Pass,68," 23,45,000 ", 0 
Manavalan Yadav. K,LJP,0,10th Pass,60," 1,35,500 ", 0 
Murali.m.k.,Pattali Makkal Katchi,0,5th Pass,52," 2,55,50,554 "," 35,95,477 "
Nagaraj.v,BJP,0,Graduate,26," 12,84,269 "," 25,00,000 "
Navaskhan. A,Naam Tamilar Katchi,0,8th Pass,45," 6,100 ", 0 
S.nithiyanandham,DMDK, 1 ,12th Pass,43," 33,77,000 ", 0 
Subramani. V,IND,0,5th Pass,59," 2,85,000 ", 0 
Velu. D,IND,0,8th Pass,57," 7,20,000 ", 0 
Yuvaraj. A,BSP,0,Post Graduate,27," 26,000 ", 0 
