Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Karthikeyan.k    ,DMK,0,10th Pass,38," 3,71,81,844 "," 68,14,781 "
Anbazhagan.m,IND,0,5th Pass,42," 50,500 ", 0 
Dhandapani.k,AIADMK,0,10th Pass,51," 2,47,94,877 ", 0 
Elumalai.n,Valimai Valartchi Indians Party,0,10th Pass,40," 10,77,100 ", 0 
Jayaraman.s,IND,0,8th Pass,61," 21,11,654 ", 0 
Kamalakannan.m,IND,0,Post Graduate,62," 61,49,079 "," 1,00,000 "
Muniyan.k,Naam Tamilar Katchi,0,8th Pass,34," 3,00,500 "," 89,600 "
Pandiyan.kp,Pattali Makkal Katchi, 2 ,Graduate,55," 2,43,53,340 "," 41,80,000 "
Radhakrishnan.c,IND,0,5th Pass,51," 16,76,309 ", 0 
Raphael Raj.c,IND,0,Post Graduate,43," 79,58,151 "," 13,56,000 "
Sakthivel.s,BSP, 1 ,Others,52," 13,30,000 ", 0 
Sandhanam.m,IND,0,10th Pass,33," 19,86,094 ", 0 
Senthilkumar.m,Indiya Jananayaka Katchi,0,10th Pass,36," 16,15,116 ", 0 
Shankar.s,Youth And Students Party,0,5th Pass,37," 50,500 ", 0 
Vjp Vincent Jayaraj,DMDK,0,Post Graduate,55," 1,95,92,032 "," 21,10,927 "
