Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Jayakumar D    ,AIADMK,0,Graduate Professional,55," 83,16,207 ", 0 
Anandha Raj B,Naam Tamilar Katchi, 1 ,10th Pass,36," 6,44,421 ", 0 
Biju Chacko,Tamil Maanila Congress (Moopanar),0,Graduate Professional,47," 5,89,70,328 ", 0 
David K,IND,0,Graduate Professional,27," 50,000 ", 0 
Dhanasekaran G,IND,0,Graduate Professional,45," 1,45,564 ", 0 
Ganesh Prabhu P,IND,0,Post Graduate,28," 13,24,000 "," 6,31,445 "
Jemelaa M R,BJP,0,Post Graduate,42," 3,75,92,680 "," 65,19,981 "
Manohar R,INC,0,Post Graduate,50," 7,80,60,133 "," 1,29,15,494 "
Perumal T S,Pattali Makkal Katchi,0,8th Pass,62," 7,91,02,975 "," 62,25,140 "
Purushothaman P P,IND,0,Graduate Professional,35," 6,00,000 ", 0 
Rajaraman N,IND,0,Graduate Professional,61," 1,00,000 ", 0 
Rubalingam K,BSP,0,Others,31," 10,500 ", 0 
Selvan P,IND, 1 ,10th Pass,26," 12,200 ", 0 
Syed Rafi Basha H,SDPI, 1 ,5th Pass,37," 17,34,816 ", 0 
Vannai Sathya Alias Sathyanarayanan,IND,0,8th Pass,49," 84,000 ", 0 
Vijayavelmurugan T,IND,0,12th Pass,63," 66,95,300 ", 0 
