Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Subramanian.ma    ,DMK, 4 ,Graduate Professional,56," 66,82,576 ", 0 
Anand.v,IND,0,8th Pass,31," 2,77,000 ", 0 
Chinnadurai.v,IND,0,12th Pass,46," 4,16,83,706 "," 35,44,154 "
Elumalai.s,CPI,0,8th Pass,58," 1,00,76,223 ", 0 
Gokularajan.c,IND,0,Graduate,37," 33,66,701 ", 0 
Kalidass.v,BJP,0,12th Pass,51," 75,09,841 "," 10,00,000 "
Kandasamy.r,IND,0,8th Pass,48," 10,95,000 ", 0 
Manoharan.m,Naam Tamilar Katchi,0,Not Given,34," 6,55,500 "," 85,000 "
Murugesan.s,BSP,0,8th Pass,39," 1,33,400 ", 0 
Parthiban.s,IND,0,10th Pass,49," 79,95,000 "," 2,50,000 "
Ponnayan.c,AIADMK,0,Graduate Professional,74," 8,01,33,555 "," 1,35,14,520 "
Rajasekar.t,IND,0,Graduate,49," 5,59,009 ", 0 
Shankar.e,IND,0,10th Pass,25," 1,65,000 "," 84,000 "
Soundarjan.c,IND,0,8th Pass,42," 4,79,540 ", 0 
Subaramani.k,IND,0,8th Pass,69," 18,500 ", 0 
Subramani.m,IND,0,Illiterate,61," 16,000 ", 0 
Thomas.c,LJP,0,8th Pass,40," 12,000 ", 0 
Vishnuram.m,Youth And Students Party,0,Post Graduate,42," 72,20,552 "," 33,00,000 "
Vishnuram.s,IND,0,Post Graduate,32," 5,89,777 ", 0 
