Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rajendran.r    ,DMK, 3 ,Graduate Professional,56," 1,86,55,750 "," 20,00,000 "
Amjath Basha.a,SDPI,0,5th Pass,61," 2,95,500 ", 0 
Devadass.r,Tamil Maanila Congress (Moopanar), 2 ,Graduate Professional,63," 6,03,12,979 "," 16,57,924 "
Gopinath.r.p,BJP,0,10th Pass,44," 33,63,958 ", 0 
Govindaraj.k,IND,0,8th Pass,45," 80,300 ", 0 
Kathir Raasaratinam,Pattali Makkal Katchi, 2 ,Others,44," 1,28,10,009 "," 24,64,215 "
Kovendhan.r,Naam Tamilar Katchi,0,Graduate,36," 11,29,000 ", 0 
Latha.b,RPI(A), 3 ,10th Pass,41," 30,000 ", 0 
Palanivel.k,IND,0,5th Pass,59," 2,00,000 ", 0 
Ponnusamy.v,BSP,0,10th Pass,59," 4,41,000 ", 0 
Ponnuthambi.s,RPI,0,10th Pass,43," 71,100 ", 0 
Sabbapathi.m,Youth And Students Party,0,Graduate,32," 3,62,692 "," 3,16,022 "
Saravanan.k.r.s,AIADMK,0,Graduate Professional,42," 1,23,18,898 ", 0 
Saravanan.m,NCP,0,Graduate Professional,27," 5,07,500 "," 3,00,000 "
Senkottuvel.c,Kongunadu Makkal Desia Katchi,0,Not Given,57," 40,000 ", 0 
