Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
V. M. Rajalakshmi    ,AIADMK, 1 ,Post Graduate,30," 59,44,853 "," 24,10,773 "
Amutha,Naam Tamilar Katchi,0,8th Pass,25," 1,57,340 ", 0 
Anbumani G,DMK, 1 ,12th Pass,44," 46,63,627 "," 2,60,000 "
Gunasekaran K,BJP,0,8th Pass,43," 4,64,520 "," 30,000 "
Murugan.k,AIFB,0,5th Pass,49," 40,12,000 ", 0 
Muthu. M,Tamizhaga Vaazhvurimai Katchi,0,Post Graduate,49," 13,17,688 "," 3,35,463 "
Subashini.s,Tamilaga Makkal Munnetra Kazhagam,0,Post Graduate,35," 1,67,600 ", 0 
Subbulakshmi P,SHS,0,5th Pass,46," 10,67,500 ", 0 
Sureshkumar S,Pattali Makkal Katchi,0,Graduate Professional,42," 1,57,287 ", 0 
Venni Udaiyar.s,Jammu & Kashmir National Panthers Party,0,5th Pass,39,Nil, 0 
