Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Udhayasuriyan.t    ,DMK,0,Graduate,52," 5,72,57,160 "," 3,10,269 "
Abdul Gafoor.s,SDPI,0,5th Pass,38," 45,000 ", 0 
Dhanam K,Republican Party of India, 1 ,8th Pass,40," 51,000 ", 0 
Govindan R.,DMDK,0,5th Pass,40," 1,46,09,925 ", 0 
Mannan M P,BSP,0,Post Graduate,56," 5,32,717 ", 0 
Oviyar Anandh C,LJP,0,12th Pass,35," 6,28,500 ", 0 
P.mohan,AIADMK,0,Graduate,64," 84,59,113 ", 0 
S Rajendran,Kongunadu Makkal Desia Katchi,0,10th Pass,55," 17,80,500 ", 0 
S Sankar,Naam Tamilar Katchi,0,10th Pass,40," 1,26,000 "," 89,600 "
Sarathi K,Indiya Jananayaka Katchi,0,Post Graduate,39," 1,91,15,759 ", 0 
Sivaraman S,Pattali Makkal Katchi,0,Post Graduate,42," 33,43,248 ", 0 
