Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Aravindramesh S    ,DMK,0,8th Pass,49," 25,54,11,967 "," 2,98,21,140 "
Arun Kumar S,The Future India Party,0,Post Graduate,31," 22,55,000 "," 1,40,000 "
Manidasan.s,Valamaana Tamizhagam Katchi,0,Graduate,56," 30,88,755 "," 60,000 "
Paneer Doss R,Viduthalai Chiruthaigal Katchi,0,10th Pass,47," 98,30,000 ", 0 
Peramaiyan.g,BSP,0,Graduate Professional,30," 51,000 ", 0 
Rajan.s,Naam Tamilar Katchi,0,Graduate Professional,28," 60,59,000 "," 6,07,308 "
Ramkumar.k,Pattali Makkal Katchi,0,Not Given,43," 80,53,007 "," 5,00,000 "
Sankar.j,IND,0,Post Graduate,32," 1,20,65,000 ", 0 
Sundaram N,AIADMK,0,8th Pass,60," 14,59,66,086 "," 4,64,971 "
Ujagar Singh,BJP,0,Post Graduate,66," 6,65,13,522 ", 0 
