Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
N. Karthik    ,DMK, 2 ,8th Pass,52," 4,70,55,411 "," 10,43,041 "
A.arjunaraj,Marumalarchi Dravida Munnetra Kazhagam,0,Graduate Professional,66," 14,50,00,720 "," 90,000 "
Ashok Jayendar,Pattali Makkal Katchi,0,Post Graduate,27," 1,02,01,500 ", 0 
C.r. Nandakumar,BJP,0,Post Graduate,46," 4,50,06,828 "," 81,241 "
D. Parthiban,IND,0,10th Pass,36," 17,60,000 "," 9,00,000 "
Elangovan K,IND,0,10th Pass,37," 11,54,000 ", 0 
K.sargunam,Gandhiya Makkal Iyakkam,0,10th Pass,67," 44,68,283 ", 0 
Karthik. P,IND,0,Graduate,30," 58,000 ", 0 
N. Karthikeyan,Kongunadu Makkal Desia Katchi,0,10th Pass,44," 35,71,859 ", 0 
R. Manian,Ulzaipali Makkal Katchy,0,8th Pass,41," 2,65,000 ", 0 
Raghul Gandhi. K,IND,0,10th Pass,27," 1,01,000 ", 0 
S. Kalyanasundaram,Naam Tamilar Katchi,0,Post Graduate,32," 13,53,054 "," 91,115 "
S.m. Shajahan,Welfare Party Of India,0,Graduate,42," 5,29,000 ", 0 
Singai N.muthu,AIADMK,0,Others,67," 8,40,20,132 "," 2,85,81,818 "
