Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Valarmathi.s    ,AIADMK,0,Post Graduate,50," 1,34,43,374 "," 35,93,716 "
"Gnanasekaran,m",Kongunadu Makkal Desia Katchi,0,10th Pass,36," 62,11,500 "," 20,00,000 "
Packiaraj.s,IND,0,8th Pass,37," 17,000 ", 0 
Palaniyandi.m,DMK, 1 ,8th Pass,49," 6,01,54,194 "," 5,97,38,708 "
Periyasamy.a,BSP,0,5th Pass,55," 20,78,400 "," 77,500 "
Periyasamy.m,IND,0,5th Pass,47," 15,500 ", 0 
Pushpam.v,CPI,0,5th Pass,56," 33,77,700 "," 4,00,000 "
Rajamanickam.v,Naam Tamilar Katchi,0,12th Pass,27," 3,90,000 "," 2,00,000 "
Rajendran.ps,Tamilaga Makkal Munnetra Kazhagam,0,Illiterate,52," 29,00,000 "," 12,00,000 "
Rajeshkumar.a,BJP,0,12th Pass,42," 58,27,500 "," 1,22,000 "
Umamaheshwari.s,Pattali Makkal Katchi,0,Post Graduate,32," 11,02,655 "," 4,79,460 "
Veeramalai.a,IND,0,12th Pass,44," 33,55,000 ", 0 
