Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Prakaash.y    ,DMK,0,10th Pass,51," 4,38,15,743 "," 38,47,380 "
Abubekar,IND,0,12th Pass,30," 5,547 ", 0 
"Arunrajan,d.",Pattali Makkal Katchi,0,Graduate,39," 1,95,81,000 "," 1,50,000 "
"Nagesh,c.",AIADMK,0,10th Pass,53," 95,83,793 ", 0 
Pandu,United Communist Party of India,0,Illiterate,52," 5,547 ", 0 
"Ramachandran,t.",CPI, 13 ,Graduate Professional,48," 1,98,43,559 ", 0 
Ramachandran.b,BJP,0,10th Pass,48," 8,30,000 "," 1,20,000 "
Roselin R.,NCP,0,5th Pass,42," 9,35,500 "," 30,000 "
Tamilselvan S.,Naam Tamilar Katchi,0,8th Pass,28," 12,000 ", 0 
Vindhai Vendhan,IND,0,Not Given,68," 2,00,000 ", 0 
