Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sivakumar P Alias Thayagam Kavi    ,DMK, 1 ,Post Graduate,51," 1,22,64,820 "," 38,95,036 "
Chandrasekar,Indiya Jananayaka Katchi,0,Graduate Professional,36," 33,64,549 "," 17,000 "
Gowri,Naam Tamilar Katchi,0,12th Pass,45," 27,05,000 "," 4,75,000 "
Kolanji,IND,0,Literate,46," 6,500 ", 0 
Moorhi G,IND,0,8th Pass,64," 30,89,492 ", 0 
Nageshrao R,RPI(A),0,Illiterate,46," 79,95,000 ", 0 
Neelakandan V,AIADMK,0,10th Pass,68," 4,68,26,757 "," 4,55,00,000 "
Prabhakaran K,Makkalatchi Katchi,0,Post Graduate,33," 1,56,000 "," 52,800 "
Pushparaj,SDPI,0,8th Pass,25," 1,15,000 ", 0 
Sheela Baskaran,IND,0,8th Pass,52," 2,63,133 ", 0 
Suganthi,CPI(M),0,Post Graduate,48," 5,62,486 "," 89,000 "
Sulochana S,Youth And Students Party,0,8th Pass,36," 8,70,000 ", 0 
Vanithamani D,Pattali Makkal Katchi,0,Graduate Professional,49," 24,04,800 ", 0 
Venugopal S,IND,0,12th Pass,28," 1,76,000 ", 0 
Yuvaraj V,SHS,0,Graduate,29," 1,52,400 "," 82,000 "
