Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Udhayakumar.r.b    ,AIADMK,0,Post Graduate,43," 31,75,212 ", 0 
Chandrabose P.,Youth And Students Party,0,Literate,34,Nil, 0 
Jeyaram.r,INC,0,12th Pass,52," 3,17,69,566 "," 1,50,38,056 "
Jeyasakthivel S.,SHS,0,Post Graduate,53," 80,71,000 "," 3,50,000 "
Kanniah.t,Pattali Makkal Katchi,0,8th Pass,57," 17,73,375 ", 0 
Pandy P.,Tamilaga Makkal Munnetra Kazhagam, 1 ,Graduate,49," 2,22,000 ", 0 
Ramamoorthy.v.r,BJP,0,10th Pass,59," 95,73,885 "," 20,39,919 "
Srinivasan.m,DMDK, 1 ,Post Graduate,41," 5,78,66,215 "," 20,75,000 "
Sundaramoorthi.d,IND,0,10th Pass,30," 8,000 ", 0 
Tamilappandi M.p.,LJP,0,8th Pass,47," 8,38,500 ", 0 
Vairamani.s,IND,0,8th Pass,46," 11,40,000 ", 0 
Vaiyadurai V.,BSP,0,Post Graduate,46," 13,46,000 "," 4,80,000 "
