Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Raajendran V G    ,DMK,0,Others,48," 17,56,28,058 "," 11,41,02,948 "
Anandanayagi A,LJP,0,10th Pass,42," 1,11,500 ", 0 
Anburaj P,IND,0,10th Pass,30,Nil, 0 
Bala Krishnan N,IND,0,8th Pass,38," 2,500 ", 0 
Balasubramani A,Viduthalai Chiruthaigal Katchi,0,Graduate,52," 77,38,575 "," 17,86,000 "
Balayogi V,Pattali Makkal Katchi, 2 ,12th Pass,40," 3,54,76,057 "," 3,32,33,450 "
Baskar A,IND,0,8th Pass,44," 16,79,000 ", 0 
Baskar M,IND,0,10th Pass,38," 2,74,000 ", 0 
Baskaran A,AIADMK,0,Graduate Professional,48," 14,16,63,307 "," 25,45,644 "
Murugan S,IND,0,Post Graduate,39," 5,46,500 ", 0 
Panneerselvam T N,IND,0,5th Pass,49," 2,500 ", 0 
Prem Sekar M,BSP, 18 ,Graduate,34," 32,21,200 ", 0 
Radhakrishnan D,IND,0,Graduate,36," 5,98,215 ", 0 
Rajeev B,IND,0,8th Pass,30," 2,000 ", 0 
Rajendiran D,IND,0,Illiterate,38," 2,84,000 ", 0 
Sathish B,Vidiyalai Thedum Indhiyargal Party,0,Graduate Professional,26," 91,595 ", 0 
Senthil Kumar K,Naam Tamilar Katchi,0,Graduate,28," 5,49,663 "," 3,50,000 "
Shankar K,Vijaya Bharatha Makkal (People) Party,0,12th Pass,32," 1,02,500 ", 0 
Sivanantham R,IND,0,Illiterate,32," 7,80,000 ", 0 
Srinivasan K,BJP,0,Not Given,46," 97,39,000 ", 0 
Srinivasan V,IND,0,12th Pass,50," 5,15,899 ", 0 
