Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Anbil Mahesh Poyyamozhi    ,DMK,0,Post Graduate,38," 4,06,46,902 "," 22,86,920 "
Chittibabu E,BJP,0,Others,40," 14,67,61,270 "," 1,60,25,405 "
Cholasooran V,Naam Tamilar Katchi,0,Post Graduate,35," 19,80,000 "," 1,40,000 "
Dilipkumar.k,Pattali Makkal Katchi,0,5th Pass,32," 17,86,330 ", 0 
Kalaiselvan. D,AIADMK,0,10th Pass,58," 10,29,23,000 "," 90,000 "
Kalaiselvan.k,IND,0,Graduate,53," 1,10,000 ", 0 
Palanimanickam.a.g,AIFB,0,Graduate,40," 85,93,263 "," 72,56,000 "
Priya.r,IND,0,Graduate Professional,35," 6,09,000 ", 0 
Raju.n,IND,0,5th Pass,55, 100 , 0 
Ramachandran. R,IND,0,10th Pass,65," 22,25,000 ", 0 
Ramesh.k,Tamilaga Makkal Munnetra Kazhagam,0,8th Pass,43," 7,05,000 ", 0 
S.senthilkumar,DMDK,0,Others,48," 29,21,400 ", 0 
Sachithanantham.k,BSP,0,Others,53," 80,00,000 "," 25,000 "
Samsudeen S,SDPI, 1 ,8th Pass,51," 11,000 ", 0 
Sathish Kumar.p,IND,0,8th Pass,30," 1,20,000 ", 0 
Selvakumar.m,IND,0,Literate,27," 1,09,000 "," 10,000 "
Shakul Hameed.s,Welfare Party Of India,0,5th Pass,41," 36,500 ", 0 
Syed Mohamed Abuthager.i,IND,0,10th Pass,38," 4,62,970 "," 4,73,220 "
