Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sathyanarayanan.b    ,AIADMK, 1 ,Graduate,52," 14,09,95,458 "," 5,61,12,203 "
A. Ramanan,SHS,0,10th Pass,66," 5,10,900 ", 0 
Dr.n.s.kanimozhi,DMK,0,Post Graduate,43," 6,73,49,281 "," 3,25,40,745 "
E. Dinakaran,IND,0,5th Pass,47," 2,95,000 ", 0 
H.raja,BJP,0,Graduate Professional,58," 1,16,20,928 "," 4,87,131 "
Harirajan.m,IND,0,Graduate Professional,29," 7,66,503 "," 90,000 "
K. Nagadass,BSP,0,5th Pass,49," 5,000 ", 0 
Kumar.v,DMDK,0,8th Pass,47," 2,76,49,886 "," 1,53,92,339 "
M. Karthik,IND,0,Graduate Professional,27," 5,77,534 ", 0 
M. Srinivasan,IND,0,Graduate Professional,36," 4,27,500 ", 0 
Mahesh.k,Youth And Students Part,0,Graduate,37," 2,48,12,674 "," 9,97,092 "
P. Tamilmani,IND,0,8th Pass,32," 2,000 ", 0 
R.j. Augustin,Gandhiya Makkal Iyakkam,0,Graduate,32," 8,24,000 "," 1,60,000 "
T. Pandiyarajan,IND,0,10th Pass,56," 46,40,272 ", 0 
Vinoth.v,Pattali Makkal Katchi,0,Graduate,34," 2,16,03,813 "," 93,60,227 "
