Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
S.p. Velumani    ,AIADMK,0,Post Graduate,46," 4,01,44,206 ", 0 
A.anshar Sheriff,SDPI,0,10th Pass,57," 22,81,066 ", 0 
Balathandapani,Welfare Party Of India,0,Illiterate,49," 23,05,000 ", 0 
K.ramasamy,IND,0,10th Pass,66," 49,50,000 ", 0 
K.thiyagarajan,DMDK,0,Others,47," 1,36,42,060 "," 9,25,893 "
M.a.syed Mohammed,Manithaneya Makkal Katchi, 1 ,5th Pass,47," 16,10,000 ", 0 
M.karumuthu Thiyagarajan,BJP,0,8th Pass,56," 89,75,000 "," 36,00,000 "
M.mohammed Ansari @ Ansari,IND,0,5th Pass,48," 5,40,000 ", 0 
M.muthukumar,SHS, 1 ,8th Pass,35," 12,40,500 "," 2,25,000 "
M.panneer Selvam,IND,0,5th Pass,59," 52,79,000 ", 0 
N.sathish,Tamilaga Makkal Munnetra Kazhagam,0,10th Pass,36," 10,000 ", 0 
S.i.syed Mohammed,IND,0,Literate,52," 7,40,000 ", 0 
V.jeganathan,Pattali Makkal Katchi,0,12th Pass,42," 32,10,900 "," 60,000 "
V.sampathkumar,IND,0,8th Pass,46," 13,06,500 ", 0 
