Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ku.ka.selvam    ,DMK,0,Not Given,63," 15,06,21,865 ", 0 
Arunthathi Ramachandran,IND,0,Illiterate,41," 12,000 ", 0 
B.valarmathi,AIADMK, 1 ,10th Pass,58," 8,92,10,458 ", 0 
C. Ambigapathy,Marumalarchi Dravida Munnetra Kazhagam, 1 ,12th Pass,51," 18,41,55,962 "," 5,09,95,432 "
Dhananjayan T S,IND,0,8th Pass,45," 76,116 ", 0 
Elango M,Youth And Students Party,0,Post Graduate,32," 1,09,545 ", 0 
Gokulakrishnan E,IND,0,Post Graduate,40," 70,49,752 "," 33,13,443 "
Iyyanar C,IND,0,Graduate Professional,47," 1,13,47,999 "," 1,70,000 "
Jaffer Sadik J,IND,0,Graduate,39," 3,63,55,075 "," 4,73,212 "
Karthik D,IND,0,12th Pass,31," 10,000 ", 0 
Kumar K,IND,0,10th Pass,60," 8,15,352 ", 0 
Manikandan A,IND,0,8th Pass,26," 10,000 ", 0 
Mogan Kumar S P,IND,0,12th Pass,26," 2,48,153 ", 0 
Murugan S,IND,0,Graduate Professional,45," 12,00,548 "," 7,68,000 "
Murugesan,Naam Tamilar Katchi,0,10th Pass,41," 58,60,500 "," 5,00,000 "
Ramesh A,IND,0,Graduate Professional,49," 5,63,068 "," 2,25,000 "
Rangan V,Pattali Makkal Katchi,0,Post Graduate,41," 1,85,84,813 "," 44,88,247 "
Santhakumar K,IND,0,Graduate Professional,41," 1,47,000 ", 0 
Selvam P,IND,0,12th Pass,40," 9,78,050 ", 0 
Shivalingam M,BJP,0,10th Pass,52," 1,18,46,000 "," 20,85,000 "
