Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Natarajan .n.    ,AIADMK,0,10th Pass,66," 1,17,80,440 ", 0 
Dr. Rohaiyaah Shaik Mohamed,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,44," 13,40,91,001 "," 56,59,361 "
Ganesan .m.,IND,0,8th Pass,34," 2,70,000 ", 0 
Jaikumar .n.,NCP,0,10th Pass,37," 1,30,500 "," 32,000 "
Jayanthi Mala .s.,RPI(A),0,Graduate Professional,33," 1,000 ", 0 
Jerome Arockiaraj .g.,INC,0,Graduate,53," 17,09,93,878 "," 4,61,47,000 "
Prabu .r.,Naam Tamilar Katchi,0,Post Graduate,36," 27,47,000 "," 3,00,000 "
Rajaiyan .t.,BJP,0,10th Pass,58," 4,50,32,550 "," 14,18,620 "
Ramnath Rajan .p.,IND,0,Others,53," 13,40,000 ", 0 
Robert Christy .j.,Peoples Party of India(secular),0,10th Pass,52," 2,23,000 ", 0 
Sridhar .b.,Pattali Makkal Katchi,0,Graduate,51," 3,18,26,306 "," 57,11,400 "
Venkatesan .v.,Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,26," 3,11,500 "," 4,000 "
