Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Nehru.k.n    ,DMK, 11 ,12th Pass,63," 3,75,72,526 "," 40,48,732 "
Govindarajan.s,IND,0,Graduate,65," 6,43,991 ", 0 
Jamal Mohamed.y,Welfare Party Of India,0,Post Graduate,38," 4,90,922 ", 0 
Joseph Jerald.a,DMDK,0,Graduate,48," 7,01,14,526 "," 3,61,38,277 "
Kamalraj.p,IND,0,Post Graduate,27," 17,37,654 "," 2,85,046 "
Karthik.b,IND,0,12th Pass,29," 41,689 ", 0 
Manohar.r,IND,0,10th Pass,45," 1,70,000 ", 0 
Manoharan.r,AIADMK,0,Graduate,60," 18,90,65,940 "," 20,49,065 "
Raghavan.r,IND, 2 ,12th Pass,59," 23,12,000 "," 40,000 "
Sangapal.m,BSP,0,Graduate Professional,46,Nil, 0 
Selvakumar.m,Gandhiya Makkal Iyakkam,0,Post Graduate,30," 60,000 ", 0 
Vasudevan.k,IND,0,8th Pass,27," 20,000 ", 0 
Vijayaraghavan.k,Pattali Makkal Katchi, 1 ,Post Graduate,40," 39,35,449 "," 5,05,397 "
