Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Ponmudy K    ,DMK, 4 ,Doctorate,65," 11,69,46,476 "," 1,63,60,814 "
Arulnehru V,IND,0,12th Pass,53," 13,50,383 ", 0 
Balasakthi B,Pattali Makkal Katchi,0,10th Pass,37," 1,21,60,059 "," 13,14,000 "
Dhandapani S,BJP,0,Not Given,57,Nil, 0 
Ganesh G,Tamil Maanila Congress (Moopanar),0,8th Pass,34," 52,45,480 ", 0 
Gothandaraman G,AIADMK,0,Graduate Professional,66," 5,07,04,508 ", 0 
Palanivel S,IND,0,10th Pass,30," 4,100 "," 97,500 "
Rajasekar D,Naam Tamilar Katchi,0,Graduate,27," 69,750 ", 0 
Sapthagiri T,IND,0,10th Pass,36," 43,240 ", 0 
Thamilselvi D,IND,0,8th Pass,39," 13,66,260 "," 50,000 "
