Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Karunaas    ,AIADMK, 2 ,12th Pass,46," 1,84,93,290 "," 2,59,000 "
Anbu Bagurudeen. N,NCP,0,5th Pass,60," 11,22,000 ", 0 
Dhevanathan Yadav.t,BJP, 3 ,Doctorate,55," 56,35,77,869 "," 12,53,03,386 "
Mahalingam.m,Samuga Makkal Katchi, 1 ,8th Pass,41," 50,500 ", 0 
Manimaran.v,DMDK, 3 ,Graduate Professional,41," 63,95,000 ", 0 
Pandi. V,Pattali Makkal Katchi,0,Graduate,44," 23,05,588 ", 0 
Pappa.a,IND,0,8th Pass,49," 13,36,133 ", 0 
Rajiv Gandhi.r,Naam Tamilar Katchi,0,Graduate Professional,31," 10,62,244 ", 0 
Ramakrishnan.m,BSP,0,Graduate,37," 12,67,864 "," 2,17,370 "
Thivakaran. S.p,DMK, 5 ,Graduate,51," 2,08,51,615 ", 0 
