Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Kumaraguru R    ,AIADMK, 9 ,Graduate,55," 1,89,65,250 "," 6,48,563 "
Agni Sriramachandran,IND,0,10th Pass,35," 5,97,900 ", 0 
Arasan K,IND,0,Illiterate,56," 6,95,000 ", 0 
"Arigovindhan, T",IND,0,5th Pass,31," 3,11,000 ", 0 
"Arumugam, E",IND,0,Not Given,39," 2,11,000 ", 0 
"Bakkiiyalakshmi, K.",IND,0,8th Pass,32," 21,800 ", 0 
Balu K,Pattali Makkal Katchi,0,Graduate Professional,45," 4,23,08,778 "," 1,27,70,000 "
"Chandrasekaran, N.",BSP,0,Graduate Professional,44," 5,65,000 "," 80,000 "
Dr.k.padmarajan,IND,0,Post Graduate,55," 15,16,000 "," 48,000 "
G.r.vasanthavel,DMK,0,10th Pass,50," 2,03,94,816 "," 40,13,168 "
"Kumaraguru, D.",IND,0,8th Pass,43," 2,01,000 ", 0 
"Manoharan, D.",IND,0,Graduate,42," 84,500 ", 0 
Ramalingam G,Kongunadu Makkal Desia Katchi,0,Graduate,60," 15,50,500 ", 0 
"Saravanan, G.v.",IND,0,12th Pass,39," 4,44,050 ", 0 
"Suriya Prakash, M.",Vidiyalai Thedum Indhiyargal Party,0,Post Graduate,27," 22,12,500 ", 0 
Venkatesan M,CPI(ML)(L),0,Graduate,44," 7,81,943 "," 57,500 "
"Vijayakanth, A.",IND,0,Others,34," 4,85,785 ", 0 
Vijaykant,DMDK, 31 ,10th Pass,63," 53,56,86,351 "," 14,72,28,523 "
