Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Sundar.k    ,DMK,0,10th Pass,61," 2,16,25,310 "," 93,732 "
Amutha.n,SP,0,Graduate,29," 2,86,000 ", 0 
Ganesan P,AIADMK,0,5th Pass,55," 65,16,874 ", 0 
Gangadharan Pon,Pattali Makkal Katchi, 2 ,8th Pass,46," 4,10,000 ", 0 
Jayaraman.s,IND,0,10th Pass,68," 1,01,000 ", 0 
Madhavaraj.k.v,IND,0,12th Pass,49," 1,72,640 "," 69,000 "
Muthukumar.r,IND,0,Graduate,45," 26,000 ", 0 
Prakash.k,LJP,0,10th Pass,36," 12,50,000 "," 17,00,000 "
Purushothaman V,BJP,0,Others,33," 50,000 ", 0 
Rajendran M,DMDK,0,Graduate Professional,50," 88,63,730 ", 0 
Suresh.d,BSP,0,8th Pass,36," 50,500 ", 0 
Susairaj.r,Naam Tamilar Katchi,0,10th Pass,34," 12,80,000 ", 0 
Vanasundari.m,IND,0,12th Pass,38," 15,76,000 ", 0 
