Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Paramasivam V.p.b    ,AIADMK,0,Post Graduate,36," 4,52,07,688 "," 7,48,507 "
Balu S.r.k,DMDK, 4 ,10th Pass,51," 5,93,00,000 "," 14,58,370 "
Jayanthi P,CPI(ML)(L),0,Graduate Professional,35," 7,58,000 ", 0 
Maneeshankar M.g,Rashtriya Samaj Paksha, 1 ,10th Pass,41," 40,000 "," 7,30,000 "
Mani P,Kongunadu Makkal Desia Katchi,0,10th Pass,49," 17,82,153 "," 1,93,000 "
Mohanraj S,Naam Tamilar Katchi,0,10th Pass,30," 22,000 ", 0 
Palanichamy C,Pattali Makkal Katchi,0,5th Pass,48," 40,71,814 "," 7,08,630 "
Palanichamy M,BSP, 1 ,8th Pass,58," 40,93,954 ", 0 
Ravi K,IND,0,Graduate Professional,42," 4,25,000 ", 0 
Sivaranjani S,Indiya Jananayaka Katchi,0,12th Pass,29," 2,00,000 ", 0 
Sivasakthivel Gounder R,INC,0,5th Pass,68," 6,14,65,207 "," 72,20,761 "
