Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
P. Manonmani    ,AIADMK,0,Graduate,53," 1,68,02,566 "," 39,11,555 "
A. Margandeyan,IND,0,Graduate,29," 26,000 ", 0 
Kamaraaj. K.p,Kongunadu Makkal Desia Katchi,0,Graduate,28," 38,71,000 ", 0 
M. Sasikumar,Naam Tamilar Katchi,0,8th Pass,31," 19,31,219 ", 0 
M. Sathishkumar,IND,0,Graduate,31," 1,94,053 ", 0 
M. Senthilkumar,IND,0,Graduate,37," 1,59,400 ", 0 
Manonmani. A,IND,0,5th Pass,46," 6,36,000 ", 0 
Mohan. A,CPI,0,Literate,48," 6,500 ", 0 
Mohankumar. M,Indiya Jananayaka Katchi, 3 ,Graduate,39," 55,75,000 "," 9,98,500 "
Rajendran. A,DMK, 1 ,Post Graduate,51," 6,30,58,093 "," 2,43,18,025 "
Samraj.a.r.b,Pattali Makkal Katchi,0,10th Pass,55," 6,87,41,757 "," 35,75,907 "
V.m. Sellammal,BSP,0,8th Pass,42," 1,000 ", 0 
