Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Vagai Chanderasekar    ,DMK,0,10th Pass,59," 4,41,11,571 "," 1,37,15,570 "
A Chanderan,Makkal Manadu Katchi,0,8th Pass,57," 71,500 ", 0 
B Pirabu,IND,0,Graduate,28," 35,501 ", 0 
C Munusamy,AIADMK, 1 ,8th Pass,54," 1,56,30,405 "," 66,89,754 "
C Sundaram,IND,0,12th Pass,39," 52,80,292 ", 0 
K Eswaran,IND,0,10th Pass,37," 2,40,000 ", 0 
M Shantha Kumar,IND,0,5th Pass,38," 2,000 ", 0 
M Suresh Kumar,IND,0,12th Pass,39," 1,66,52,000 "," 17,00,000 "
N Chandrasekaran,Naam Tamilar Katchi,0,Post Graduate,58," 6,96,25,243 "," 2,46,825 "
P Elumalai,IND,0,Graduate,46," 4,39,856 ", 0 
P Sritharan,BJP,0,Others,49," 7,83,58,104 "," 2,71,32,329 "
R Gunasekeran,IND,0,8th Pass,40," 1,30,000 ", 0 
R Jeyaseelan,IND,0,Post Graduate,58," 84,51,000 ", 0 
R Kumar,IND,0,Graduate,39," 42,411 ", 0 
R Saminathan,IND,0,Illiterate,38," 19,286 ", 0 
R Umashankar,IND,0,Graduate,57," 1,60,74,547 ", 0 
Raja Krishnamoorthy @ Kitty,IND,0,Post Graduate,63," 8,74,16,000 "," 18,50,000 "
S Jeyaraj,IND, 1 ,Post Graduate,41," 3,61,000 "," 1,00,000 "
S Sundarajan,IND,0,Graduate,39," 3,49,000 ", 0 
Selvakumar,Gandhiyan Peoples Party,0,Post Graduate,27," 3,11,500 "," 8,00,000 "
Sudarsan Rajan,IND,0,Post Graduate,25," 3,35,000 "," 22,00,000 "
V N Rajan,DMDK,0,Graduate,47," 1,38,94,500 "," 43,00,000 "
Vinoba Bhoopathy,Pattali Makkal Katchi,0,Graduate Professional,34," 8,68,882 ", 0 
