Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Karthikeyan .p    ,DMK,0,5th Pass,54," 15,88,03,164 "," 1,11,57,653 "
Baladandayudam.g,IND,0,Post Graduate,36," 2,00,000 ", 0 
Balakrishnan V,Vijaya Bharatha Makkal (People) Party,0,8th Pass,48," 2,20,500 ", 0 
Elangovan.s,BJP,0,Graduate,53," 2,75,55,388 "," 79,71,816 "
Gnanapragasam.s,All Pensioners Front,0,Post Graduate,65," 22,20,000 ", 0 
Harun Rasheed,AIADMK,0,Post Graduate,43," 36,08,133 ", 0 
Lakshmi Narayanan .d,Pattali Makkal Katchi,0,Graduate Professional,51," 87,92,286 ", 0 
Manigandan.a,Naam Tamilar Katchi,0,8th Pass,26," 8,40,000 ", 0 
Ramesh.k,SP,0,Graduate,42," 16,06,000 ", 0 
Samuel Jason .p,Peoples Party of India(secular),0,Graduate Professional,33," 7,29,000 "," 3,79,704 "
Saravanan.l,IND,0,8th Pass,38," 69,500 ", 0 
Shaik Meeran,SDPI,0,Illiterate,64," 67,28,524 "," 7,25,000 "
Usha Nandini.m,IND,0,Graduate,47," 39,95,408 "," 20,11,531 "
Venkatesan,IND,0,Post Graduate,49," 1,71,04,735 "," 2,92,000 "
