Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Murugan P    ,DMK,0,12th Pass,46," 5,58,76,850 "," 65,20,621 "
Abbas Ali S B,Forward Democratic Labour Party,0,10th Pass,64," 1,70,20,000 "," 1,50,000 "
Hemnath M,AIADMK, 1 ,Graduate,41," 9,77,92,621 "," 50,00,000 "
Ilanthamizan,Naam Tamilar Katchi,0,Post Graduate,25," 3,25,500 ", 0 
Krishnappa @ Krishnan,Kongunadu Makkal Desia Katchi,0,Others,56," 2,80,500 ", 0 
Nagaraj N,DMDK,0,8th Pass,41," 37,45,000 ", 0 
Ramasamy Gc,IND,0,5th Pass,64," 22,15,500 ", 0 
Sadanapalliyappa,IND,0,5th Pass,41," 65,500 ", 0 
Sankar K,United Communist Party of India,0,10th Pass,31," 1,51,000 ", 0 
Shanmugam L,IND,0,Illiterate,53," 7,74,257 "," 1,03,118 "
Sudhakar N,IND,0,10th Pass,40," 9,83,000 ", 0 
Sujatha K,NCP,0,10th Pass,39," 33,60,500 "," 1,28,000 "
"Suryaprakash, C.l.",Republican Sena,0,8th Pass,54," 10,37,000 ", 0 
Tamil Selvi,Pattali Makkal Katchi,0,Graduate Professional,30," 42,07,639 ", 0 
