Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rathamani.k    ,DMK,0,Post Graduate,67," 32,18,000 "," 2,40,000 "
Aadhavan. S,BJP,0,Graduate Professional,47," 1,64,28,728 "," 99,50,000 "
Anbumani. C,Pattali Makkal Katchi,0,Graduate,58," 79,42,589 "," 24,70,000 "
Murugadoss A,BSP,0,8th Pass,30," 85,500 ", 0 
Navaneedham. R,IND,0,10th Pass,39," 13,17,000 ", 0 
Perumal. B,IND,0,Post Graduate,27," 25,000 ", 0 
Ramamurthy R,CPI(M),0,Others,68," 96,96,410 ", 0 
Ravichandran. A,SP,0,5th Pass,50," 8,65,500 ", 0 
Thangarasu. K,IND,0,10th Pass,59," 2,22,34,000 "," 1,99,000 "
Velu R,AIADMK,0,Literate,63," 3,78,21,681 "," 4,08,274 "
Velu. K,IND,0,12th Pass,49," 1,27,800 "," 50,000 "
