Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Vijayadharani S    ,INC, 4 ,Graduate Professional,46," 7,93,53,723 "," 63,72,382 "
Davidraj N,IND,0,5th Pass,43," 19,37,464 "," 6,59,880 "
Dharmaraj C,BJP, 2 ,10th Pass,50," 37,32,771 "," 2,10,000 "
Dominic Savio George,AIADMK, 3 ,Graduate,47," 97,00,000 "," 2,16,926 "
Hariharan R,Pattali Makkal Katchi, 2 ,10th Pass,44," 89,07,275 "," 20,89,565 "
Johnchristopher T,JD(S), 1 ,Post Graduate,47," 3,16,000 "," 15,00,000 "
Johnson N,SHS,0,10th Pass,49," 52,00,000 ", 0 
Jose Prabhu K,IND,0,10th Pass,34," 1,50,010 "," 1,35,132 "
Manikandan P,Naam Tamilar Katchi,0,Post Graduate,39," 10,34,850 ", 0 
Ramesh A,IND,0,10th Pass,44," 9,04,000 ", 0 
Shibu T,BSP,0,10th Pass,34," 5,40,962 ", 0 
Wilson I,Valamaana Tamizhagam Katchi,0,12th Pass,51," 11,000 ", 0 
