Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Shanmugam C Ve    ,AIADMK, 5 ,Graduate Professional,50," 2,60,27,156 "," 27,00,000 "
A S Victor,IND,0,10th Pass,42," 75,577 ", 0 
Ameer Abbas S M,IUML, 2 ,8th Pass,44," 1,42,25,500 "," 4,40,000 "
Anandh Babu A,IND,0,Post Graduate,32, 315 , 0 
Jayakumar Rama,BJP,0,10th Pass,45," 14,51,363 "," 9,90,000 "
Kaliamoorthy G Karunchiruthai,BSP, 1 ,10th Pass,49," 2,14,545 ", 0 
Mugamadhu Ali Jinna M,IND,0,10th Pass,50," 5,85,000 ", 0 
Murugan K,IND,0,10th Pass,49," 41,10,000 "," 38,00,000 "
Shanmugam A,IND,0,8th Pass,48," 31,42,495 "," 57,000 "
Shanmugam K,IND,0,5th Pass,47," 9,01,342 ", 0 
Subramani K,Naam Tamilar Katchi,0,Others,36," 9,32,500 "," 35,000 "
Sulthan Moideen D,IND,0,Illiterate,54," 6,96,500 ", 0 
