Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
V.n.virugai Ravi    ,AIADMK,0,Graduate,51," 62,38,250 ", 0 
A.seenevasan,Kongunadu Makkal Desia Katchi,0,12th Pass,30," 5,75,081 "," 4,81,510 "
B.jayabal,IND,0,8th Pass,45," 6,67,533 "," 1,26,201 "
B.parthasarathy,DMDK, 5 ,10th Pass,51," 56,32,561 "," 2,06,000 "
C.h. Jayarao,Pattali Makkal Katchi,0,10th Pass,75," 6,63,067 "," 4,29,623 "
D.dhanasekar,IND,0,8th Pass,44," 2,64,398 ", 0 
Dilip Mathew John,Youth And Students Party,0,Post Graduate,38," 19,67,000 ", 0 
Dr. Tamilisai Soudrarajan,BJP,0,Graduate Professional,54," 5,80,04,000 "," 40,00,000 "
G.rajendran,IND,0,8th Pass,39," 1,31,242 ", 0 
K. Thanasekaran,DMK, 4 ,10th Pass,54," 17,91,62,607 "," 5,68,922 "
K.ravi,IND,0,Illiterate,45," 33,064 ", 0 
M.s.s.sudhir Theja,IND,0,10th Pass,26," 2,51,000 ", 0 
N.nandha Gopal,IND,0,Graduate Professional,35," 20,000 ", 0 
N.ravi,IND,0,5th Pass,46," 24,00,000 ", 0 
P. Essakimuthu,IND,0,Illiterate,60,Nil, 0 
S.kumar,IND,0,12th Pass,47," 6,49,620 ", 0 
S.r.dinesh Kumar,IND, 1 ,Graduate,28," 3,70,000 ", 0 
T.s.rajendran,Naam Tamilar Katchi,0,12th Pass,52," 25,51,700 "," 2,50,000 "
